#,Title,slug,Difficulty
370,Range Addition,range-addition,Medium
371,Sum of Two Integers,sum-of-two-integers,Easy
372,Super Pow,super-pow,Medium
373,Find K Pairs with Smallest Sums,find-k-pairs-with-smallest-sums,Medium
374,Guess Number Higher or Lower,guess-number-higher-or-lower,Easy
375,Guess Number Higher or Lower II,guess-number-higher-or-lower-ii,Medium
376,Wiggle Subsequence,wiggle-subsequence,Medium
377,Combination Sum IV,combination-sum-iv,Medium
378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,Medium
379,Design Phone Directory,design-phone-directory,Medium
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,Medium
381,Insert Delete GetRandom O(1) - Duplicates allowed,insert-delete-getrandom-o1---duplicates-allowed,Hard
382,Linked List Random Node,linked-list-random-node,Medium
383,Ransom Note,ransom-note,Easy
384,Shuffle an Array,shuffle-an-array,Medium
385,Mini Parser,mini-parser,Medium
386,Lexicographical Numbers,lexicographical-numbers,Medium
387,First Unique Character in a String,first-unique-character-in-a-string,Easy
388,Longest Absolute File Path,longest-absolute-file-path,Medium
389,Find the Difference,find-the-difference,Easy
390,Elimination Game,elimination-game,Medium
391,Perfect Rectangle,perfect-rectangle,Hard
392,Is Subsequence,is-subsequence,Easy
393,UTF-8 Validation,utf-8-validation,Medium
394,Decode String,decode-string,Medium
395,Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,Medium
396,Rotate Function,rotate-function,Medium
397,Integer Replacement,integer-replacement,Medium
398,Random Pick Index,random-pick-index,Medium
399,Evaluate Division,evaluate-division,Medium
400,Nth Digit,nth-digit,Medium
401,Binary Watch,binary-watch,Easy
402,Remove K Digits,remove-k-digits,Medium
403,Frog Jump,frog-jump,Hard
404,Sum of Left Leaves,sum-of-left-leaves,Easy
405,Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,Easy
406,Queue Reconstruction by Height,queue-reconstruction-by-height,Medium
407,Trapping Rain Water II,trapping-rain-water-ii,Hard
408,Valid Word Abbreviation,valid-word-abbreviation,Easy
409,Longest Palindrome,longest-palindrome,Easy
410,Split Array Largest Sum,split-array-largest-sum,Hard
411,Minimum Unique Word Abbreviation,minimum-unique-word-abbreviation,Hard
412,Fizz Buzz,fizz-buzz,Easy
413,Arithmetic Slices,arithmetic-slices,Medium
414,Third Maximum Number,third-maximum-number,Easy
415,Add Strings,add-strings,Easy
416,Partition Equal Subset Sum,partition-equal-subset-sum,Medium
417,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,Medium
418,Sentence Screen Fitting,sentence-screen-fitting,Medium
419,Battleships in a Board,battleships-in-a-board,Medium
420,Strong Password Checker,strong-password-checker,Hard
421,Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,Medium
422,Valid Word Square,valid-word-square,Easy
423,Reconstruct Original Digits from English,reconstruct-original-digits-from-english,Medium
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,Medium
425,Word Squares,word-squares,Hard
426,Convert Binary Search Tree to Sorted Doubly Linked List,convert-binary-search-tree-to-sorted-doubly-linked-list,Medium
427,Construct Quad Tree,construct-quad-tree,Medium
428,Serialize and Deserialize N-ary Tree,serialize-and-deserialize-n-ary-tree,Hard
430,Flatten a Multilevel Doubly Linked List,flatten-a-multilevel-doubly-linked-list,Medium
431,Encode N-ary Tree to Binary Tree,encode-n-ary-tree-to-binary-tree,Hard
432,All O`one Data Structure,all-oone-data-structure,Hard
433,Minimum Genetic Mutation,minimum-genetic-mutation,Medium
434,Number of Segments in a String,number-of-segments-in-a-string,Easy
435,Non-overlapping Intervals,non-overlapping-intervals,Medium
436,Find Right Interval,find-right-interval,Medium
437,Path Sum III ,path-sum-iii,Easy
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,Medium
439,Ternary Expression Parser,ternary-expression-parser,Medium
440,K-th Smallest in Lexicographical Order,k-th-smallest-in-lexicographical-order,Hard
441,Arranging Coins,arranging-coins,Easy
442,Find All Duplicates in an Array,find-all-duplicates-in-an-array,Medium
443,String Compression,string-compression,Easy
444,Sequence Reconstruction,sequence-reconstruction,Medium
445,Add Two Numbers II,add-two-numbers-ii,Medium
446,Arithmetic Slices II - Subsequence,arithmetic-slices-ii---subsequence,Hard
447,Number of Boomerangs,number-of-boomerangs,Easy
448,Find All Numbers Disappeared in an Array ,find-all-numbers-disappeared-in-an-array,Easy
450,Delete Node in a BST,delete-node-in-a-bst,Medium
452,Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,Medium
453,Minimum Moves to Equal Array Elements,minimum-moves-to-equal-array-elements,Easy
454,4Sum II,4sum-ii,Medium
456,132 Pattern,132-pattern,Medium
457,Circular Array Loop,circular-array-loop,Medium
458,Poor Pigs,poor-pigs,Hard
459,Repeated Substring Pattern,repeated-substring-pattern,Easy
460,LFU Cache ,lfu-cache,Hard
461,Hamming Distance,hamming-distance,Easy
462,Minimum Moves to Equal Array Elements II,minimum-moves-to-equal-array-elements-ii,Medium
463,Island Perimeter,island-perimeter,Easy
464,Can I Win,can-i-win,Medium
465,Optimal Account Balancing,optimal-account-balancing,Hard
466,Count The Repetitions,count-the-repetitions,Hard
467,Unique Substrings in Wraparound String,unique-substrings-in-wraparound-string,Medium
468,Validate IP Address,validate-ip-address,Medium
469,Convex Polygon,convex-polygon,Medium
470,Implement Rand10() Using Rand7(),implement-rand10-using-rand7,Medium
471,Encode String with Shortest Length,encode-string-with-shortest-length,Hard
472,Concatenated Words,concatenated-words,Hard
473,Matchsticks to Square,matchsticks-to-square,Medium
474,Ones and Zeroes,ones-and-zeroes,Medium
475,Heaters,heaters,Easy
476,Number Complement,number-complement,Easy
477,Total Hamming Distance,total-hamming-distance,Medium
478,Generate Random Point in a Circle,generate-random-point-in-a-circle,Medium
479,Largest Palindrome Product,largest-palindrome-product,Hard
480,Sliding Window Median,sliding-window-median,Hard
481,Magical String,magical-string,Medium
482,License Key Formatting,license-key-formatting,Easy
483,Smallest Good Base,smallest-good-base,Hard
484,Find Permutation,find-permutation,Medium
485,Max Consecutive Ones,max-consecutive-ones,Easy
486,Predict the Winner,predict-the-winner,Medium
487,Max Consecutive Ones II,max-consecutive-ones-ii,Medium
488,Zuma Game,zuma-game,Hard
489,Robot Room Cleaner,robot-room-cleaner,Hard
490,The Maze,the-maze,Medium
491,Increasing Subsequences,increasing-subsequences,Medium
492,Construct the Rectangle,construct-the-rectangle,Easy
493,Reverse Pairs,reverse-pairs,Hard
494,Target Sum,target-sum,Medium
495,Teemo Attacking ,teemo-attacking,Medium
496,Next Greater Element I,next-greater-element-i,Easy
497,Random Point in Non-overlapping Rectangles,random-point-in-non-overlapping-rectangles,Medium
498,Diagonal Traverse,diagonal-traverse,Medium
499,The Maze III,the-maze-iii,Hard
500,Keyboard Row,keyboard-row,Easy
502,IPO,ipo,Hard
503,Next Greater Element II,next-greater-element-ii,Medium
504,Base 7,base-7,Easy
505,The Maze II,the-maze-ii,Medium
506,Relative Ranks,relative-ranks,Easy
507,Perfect Number,perfect-number,Easy
508,Most Frequent Subtree Sum,most-frequent-subtree-sum,Medium
510,Inorder Successor in BST II,inorder-successor-in-bst-ii,Medium
511,Game Play Analysis I,game-play-analysis-i,Easy
512,Game Play Analysis II,game-play-analysis-ii,Easy
513,Find Bottom Left Tree Value,find-bottom-left-tree-value,Medium
514,Freedom Trail,freedom-trail,Hard
515,Find Largest Value in Each Tree Row,find-largest-value-in-each-tree-row,Medium
516,Longest Palindromic Subsequence,longest-palindromic-subsequence,Medium
517,Super Washing Machines,super-washing-machines,Hard
518,Coin Change 2,coin-change-2,Medium
519,Random Flip Matrix,random-flip-matrix,Medium
520,Detect Capital,detect-capital,Easy
521,Longest Uncommon Subsequence I ,longest-uncommon-subsequence-i,Easy
522,Longest Uncommon Subsequence II,longest-uncommon-subsequence-ii,Medium
523,Continuous Subarray Sum ,continuous-subarray-sum,Medium
524,Longest Word in Dictionary through Deleting,longest-word-in-dictionary-through-deleting,Medium
525,Contiguous Array,contiguous-array,Medium
526,Beautiful Arrangement,beautiful-arrangement,Medium
527,Word Abbreviation,word-abbreviation,Hard
528,Random Pick with Weight,random-pick-with-weight,Medium
529,Minesweeper,minesweeper,Medium
530,Minimum Absolute Difference in BST,minimum-absolute-difference-in-bst,Easy
531,Lonely Pixel I,lonely-pixel-i,Medium
532,K-diff Pairs in an Array,k-diff-pairs-in-an-array,Easy
533,Lonely Pixel II,lonely-pixel-ii,Medium
534,Game Play Analysis III,game-play-analysis-iii,Medium
535,Encode and Decode TinyURL,encode-and-decode-tinyurl,Medium
536,Construct Binary Tree from String,construct-binary-tree-from-string,Medium
537,Complex Number Multiplication,complex-number-multiplication,Medium
538,Convert BST to Greater Tree,convert-bst-to-greater-tree,Easy
539,Minimum Time Difference,minimum-time-difference,Medium
540,Single Element in a Sorted Array,single-element-in-a-sorted-array,Medium
541,Reverse String II,reverse-string-ii,Easy
542,01 Matrix,01-matrix,Medium
544,Output Contest Matches,output-contest-matches,Medium
545,Boundary of Binary Tree,boundary-of-binary-tree,Medium
546,Remove Boxes,remove-boxes,Hard
548,Split Array with Equal Sum,split-array-with-equal-sum,Medium
549,Binary Tree Longest Consecutive Sequence II,binary-tree-longest-consecutive-sequence-ii,Medium
550,Game Play Analysis IV,game-play-analysis-iv,Medium
551,Student Attendance Record I,student-attendance-record-i,Easy
552,Student Attendance Record II,student-attendance-record-ii,Hard
553,Optimal Division,optimal-division,Medium
554,Brick Wall,brick-wall,Medium
555,Split Concatenated Strings,split-concatenated-strings,Medium
556,Next Greater Element III,next-greater-element-iii,Medium
557,Reverse Words in a String III,reverse-words-in-a-string-iii,Easy
558,Logical OR of Two Binary Grids Represented as Quad-Trees,logical-or-of-two-binary-grids-represented-as-quad-trees,Medium
561,Array Partition I,array-partition-i,Easy
562,Longest Line of Consecutive One in Matrix,longest-line-of-consecutive-one-in-matrix,Medium
563,Binary Tree Tilt,binary-tree-tilt,Easy
564,Find the Closest Palindrome,find-the-closest-palindrome,Hard
565,Array Nesting,array-nesting,Medium
566,Reshape the Matrix,reshape-the-matrix,Easy
567,Permutation in String,permutation-in-string,Medium
568,Maximum Vacation Days,maximum-vacation-days,Hard
569,Median Employee Salary,median-employee-salary,Hard
570,Managers with at Least 5 Direct Reports,managers-with-at-least-5-direct-reports,Medium
571,Find Median Given Frequency of Numbers,find-median-given-frequency-of-numbers,Hard
573,Squirrel Simulation,squirrel-simulation,Medium
574,Winning Candidate,winning-candidate,Medium
575,Distribute Candies,distribute-candies,Easy
576,Out of Boundary Paths,out-of-boundary-paths,Medium
577,Employee Bonus,employee-bonus,Easy
578,Get Highest Answer Rate Question,get-highest-answer-rate-question,Medium
579,Find Cumulative Salary of an Employee,find-cumulative-salary-of-an-employee,Hard
580,Count Student Number in Departments,count-student-number-in-departments,Medium
581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,Easy
582,Kill Process,kill-process,Medium
583,Delete Operation for Two Strings,delete-operation-for-two-strings,Medium
584,Find Customer Referee,find-customer-referee,Easy
585,Investments in 2016,investments-in-2016,Medium
586,Customer Placing the Largest Number of Orders,customer-placing-the-largest-number-of-orders,Easy
587,Erect the Fence,erect-the-fence,Hard
588,Design In-Memory File System,design-in-memory-file-system,Hard
591,Tag Validator,tag-validator,Hard
592,Fraction Addition and Subtraction,fraction-addition-and-subtraction,Medium
593,Valid Square,valid-square,Medium
597,Friend Requests I: Overall Acceptance Rate,friend-requests-i-overall-acceptance-rate,Easy
598,Range Addition II,range-addition-ii,Easy
599,Minimum Index Sum of Two Lists,minimum-index-sum-of-two-lists,Easy
600,Non-negative Integers without Consecutive Ones,non-negative-integers-without-consecutive-ones,Hard
601,Human Traffic of Stadium,human-traffic-of-stadium,Hard
602,Friend Requests II: Who Has the Most Friends,friend-requests-ii-who-has-the-most-friends,Medium
603,Consecutive Available Seats,consecutive-available-seats,Easy
604,Design Compressed String Iterator,design-compressed-string-iterator,Easy
605,Can Place Flowers,can-place-flowers,Easy
606,Construct String from Binary Tree,construct-string-from-binary-tree,Easy
607,Sales Person,sales-person,Easy
608,Tree Node,tree-node,Medium
609,Find Duplicate File in System,find-duplicate-file-in-system,Medium
610,Triangle Judgement,triangle-judgement,Easy
611,Valid Triangle Number,valid-triangle-number,Medium
612,Shortest Distance in a Plane,shortest-distance-in-a-plane,Medium
613,Shortest Distance in a Line,shortest-distance-in-a-line,Easy
614,Second Degree Follower,second-degree-follower,Medium
615,Average Salary: Departments VS Company,average-salary-departments-vs-company,Hard
616,Add Bold Tag in String,add-bold-tag-in-string,Medium
618,Students Report By Geography,students-report-by-geography,Hard
619,Biggest Single Number,biggest-single-number,Easy
621,Task Scheduler,task-scheduler,Medium
623,Add One Row to Tree,add-one-row-to-tree,Medium
624,Maximum Distance in Arrays,maximum-distance-in-arrays,Easy
625,Minimum Factorization,minimum-factorization,Medium
